VCD info: dumpfile dump.vcd opened for output.
Time=0 | coin=0 | dispense=x | change=x
Time=5 | coin=0 | dispense=0 | change=0
Time=20 | coin=10 | dispense=0 | change=0
Time=30 | coin=0 | dispense=0 | change=0
Time=50 | coin=10 | dispense=0 | change=0
Time=60 | coin=0 | dispense=0 | change=0
Time=100 | coin=20 | dispense=0 | change=0
Time=105 | coin=20 | dispense=1 | change=1
Time=110 | coin=0 | dispense=1 | change=1
Time=115 | coin=0 | dispense=0 | change=0
Time=130 | coin=10 | dispense=0 | change=0
Time=140 | coin=0 | dispense=0 | change=0
Time=180 | coin=20 | dispense=0 | change=0
Time=185 | coin=20 | dispense=1 | change=0
Time=190 | coin=0 | dispense=1 | change=0
Time=195 | coin=0 | dispense=0 | change=0
Time=210 | coin=20 | dispense=0 | change=0
Time=220 | coin=0 | dispense=0 | change=0
vending_machine_tb.v:47: $finish called at 250 (1s)
